question	i
10	575
10	576
8	577
8	578
8	579
6	580
8	581
10	582
6	583
10	584
10	585
10	586
6	587
20	588
8	589
10	590
6	591
20	592
10	593
10	594
6	595
20	596
10	597
8	598
8	599
8	600
10	601
8	602
14	603
6	604
10	605
8	606
6	607
8	608
6	609
8	610
10	611
10	612
8	613
10	614
10	615
10	616
10	617
10	618
6	619
10	620
2	621
6	622
8	623
6	624
6	625
6	626
6	627
6	628
4	629
6	630
10	631
6	632
4	633
16	634
10	635
10	636
10	637
10	638
6	639
6	640
10	641
10	642
4	643
6	644
10	645
8	646
10	647
16	648
4	649
20	650
10	651
10	652
10	653
16	654
6	655
10	656
6	657
10	658
2	659
8	660
8	661
10	662
6	663
6	664
10	665
6	666
6	667
8	668
10	669
30	670
10	671
8	672
10	673
6	674
8	675
10	676
8	677
4	678
6	679
10	680
10	681
6	682
10	683
10	684
6	685
10	686
10	687
8	688
6	689
8	690
10	691
2	692
6	693
6	694
8	695
8	696
10	697
10	698
10	699
10	700
10	701
10	702
8	703
6	704
10	705
6	706
8	707
10	708
10	709
2	710
18	711
6	712
10	713
6	714
8	715
10	716
10	717
10	718
10	719
10	720
10	721
10	722
10	723
6	724
4	725
10	726
2	727
10	728
10	729
8	730
10	731
4	732
10	733
8	734
8	735
8	736
6	737
10	738
10	739
10	740
10	741
6	742
10	743
8	744
10	745
6	746
10	747
18	748
10	749
8	750
8	751
6	752
10	753
10	754
8	755
10	756
10	757
8	758
10	759
10	760
10	761
8	762
12	763
10	764
6	765
12	766
6	767
8	768
6	769
10	770
6	771
10	772
10	773
10	774
10	775
10	776
10	777
8	778
10	779
8	780
10	781
20	782
6	783
10	784
10	785
8	786
8	787
8	788
8	789
6	790
10	791
6	792
8	793
8	794
10	795
10	796
10	797
10	798
8	799
10	800
20	801
10	802
2	803
10	804
10	805
10	806
10	807
6	808
10	809
8	810
10	811
8	812
10	813
10	814
10	815
6	816
10	817
8	818
10	819
10	820
10	821
8	822
10	823
10	824
8	825
10	826
8	827
10	828
10	829
18	830
6	831
10	832
10	833
10	834
10	835
10	836
20	837
10	838
10	839
10	840
10	841
6	842
14	843
6	844
10	845
18	846
10	847
10	848
10	849
10	850
6	851
10	852
10	853
10	854
6	855
10	856
6	857
10	858
8	859
10	860
10	861
10	862
6	863
10	864
6	865
14	866
6	867
10	868
8	869
6	870
10	871
10	872
6	873
30	874
8	875
8	876
4	877
10	878
10	879
10	880
10	881
6	882
10	883
8	884
8	885
8	886
6	887
2	888
6	889
10	890
10	891
20	892
10	893
10	894
10	895
10	896
6	897
10	898
8	899
8	900
10	901
8	902
6	903
6	904
10	905
8	906
10	907
20	908
10	909
12	910
10	911
10	912
8	913
10	914
10	915
10	916
8	917
10	918
10	919
10	920
6	921
10	922
6	923
10	924
6	925
10	926
10	927
20	928
8	929
10	930
10	931
10	932
10	933
8	934
8	935
10	936
10	937
2	938
10	939
10	940
8	941
10	942
20	943
10	944
28	945
10	946
8	947
10	948
10	949
4	950
10	951
10	952
10	953
10	954
10	955
8	956
8	957
10	958
10	959
10	960
10	961
10	962
6	963
6	964
26	965
10	966
6	967
10	968
10	969
8	970
10	971
6	972
10	973
6	974
10	975
20	976
10	977
10	978
8	979
8	980
10	981
6	982
10	983
10	984
10	985
10	986
10	987
10	988
8	989
10	990
10	991
10	992
8	993
10	994
10	995
10	996
10	997
6	998
10	999
10	1000
10	1001
10	1002
10	1003
10	1004
10	1005
10	1006
10	1007
10	1008
10	1009
10	1010
6	1011
10	1012
6	1013
10	1014
10	1015
8	1016
10	1017
10	1018
6	1019
10	1020
10	1021
8	1022
10	1023
10	1024
10	1025
8	1026
10	1027
10	1028
10	1029
10	1030
6	1031
2	1032
10	1033
10	1034
6	1035
10	1036
6	1037
10	1038
10	1039
10	1040
8	1041
10	1042
8	1043
10	1044
8	1045
10	1046
10	1047
6	1048
16	1049
10	1050
6	1051
8	1052
10	1053
4	1054
8	1055
6	1056
10	1057
8	1058
4	1059
10	1060
10	1061
8	1062
8	1063
10	1064
12	1065
8	1066
10	1067
10	1068
10	1069
10	1070
6	1071
10	1072
10	1073
10	1074
6	1075
8	1076
8	1077
8	1078
10	1079
6	1080
6	1081
8	1082
10	1083
10	1084
8	1085
10	1086
6	1087
10	1088
8	1089
8	1090
10	1091
8	1092
6	1093
10	1094
8	1095
8	1096
6	1097
10	1098
10	1099
8	1100
10	1101
10	1102
8	1103
10	1104
10	1105
10	1106
10	1107
10	1108
8	1109
10	1110
10	1111
8	1112
6	1113
20	1114
8	1115
4	1116
10	1117
10	1118
6	1119
8	1120
6	1121
6	1122
10	1123
10	1124
10	1125
10	1126
4	1127
10	1128
10	1129
10	1130
8	1131
10	1132
6	1133
6	1134
6	1135
14	1136
6	1137
4	1138
8	1139
2	1140
8	1141
8	1142
8	1143
10	1144
34	1145
8	1146
8	1147
10	1148
18	1149
10	1150
10	1151
4	1152
8	1153
8	1154
8	1155
10	1156
10	1157
18	1158
10	1159
8	1160
10	1161
10	1162
10	1163
10	1164
10	1165
4	1166
10	1167
10	1168
10	1169
10	1170
8	1171
10	1172
6	1173
10	1174
8	1175
6	1176
10	1177
6	1178
10	1179
8	1180
10	1181
10	1182
6	1183
10	1184
6	1185
10	1186
8	1187
10	1188
10	1189
10	1190
10	1191
6	1192
6	1193
8	1194
6	1195
6	1196
20	1197
8	1198
8	1199
10	1200
6	1201
8	1202
10	1203
6	1204
8	1205
18	1206
8	1207
8	1208
8	1209
6	1210
10	1211
6	1212
6	1213
8	1214
6	1215
10	1216
2	1217
6	1218
8	1219
6	1220
6	1221
8	1222
10	1223
6	1224
10	1225
6	1226
10	1227
10	1228
6	1229
10	1230
10	1231
10	1232
6	1233
4	1234
10	1235
10	1236
10	1237
10	1238
8	1239
10	1240
10	1241
6	1242
10	1243
10	1244
8	1245
10	1246
10	1247
8	1248
6	1249
10	1250
10	1251
6	1252
10	1253
10	1254
10	1255
10	1256
10	1257
10	1258
10	1259
4	1260
4	1261
10	1262
4	1263
10	1264
8	1265
10	1266
8	1267
12	1268
6	1269
6	1270
10	1271
12	1272
6	1273
6	1274
10	1275
10	1276
2	1277
10	1278
6	1279
6	1280
8	1281
10	1282
8	1283
10	1284
8	1285
8	1286
10	1287
8	1288
8	1289
10	1290
10	1291
10	1292
10	1293
10	1294
10	1295
6	1296
8	1297
10	1298
10	1299
8	1300
10	1301
10	1302
10	1303
6	1304
2	1305
8	1306
6	1307
10	1308
10	1309
10	1310
6	1311
10	1312
10	1313
10	1314
8	1315
10	1316
8	1317
6	1318
8	1319
8	1320
10	1321
10	1322
10	1323
10	1324
10	1325
10	1326
8	1327
10	1328
8	1329
4	1330
10	1331
10	1332
10	1333
6	1334
2	1335
6	1336
6	1337
8	1338
6	1339
8	1340
8	1341
8	1342
6	1343
10	1344
8	1345
10	1346
10	1347
10	1348
4	1349
8	1350
10	1351
22	1352
18	1353
10	1354
10	1355
10	1356
8	1357
30	1358
10	1359
8	1360
10	1361
10	1362
6	1363
8	1364
12	1365
24	1366
14	1367
22	1368
14	1369
14	1370
4	1371
20	1372
12	1373
10	1374
8	1375
10	1376
4	1377
2	1378
8	1379
10	1380
6	1381
26	1382
10	1383
10	1384
8	1385
10	1386
8	1387
10	1388
10	1389
6	1390
6	1391
10	1392
10	1393
16	1394
8	1395
10	1396
10	1397
8	1398
10	1399
10	1400
10	1401
6	1402
10	1403
8	1404
10	1405
10	1406
10	1407
10	1408
10	1409
10	1410
6	1411
10	1412
10	1413
10	1414
10	1415
10	1416
10	1417
10	1418
10	1419
6	1420
6	1421
8	1422
8	1423
6	1424
8	1425
18	1426
6	1427
6	1428
10	1429
8	1430
10	1431
2	1432
10	1433
12	1434
14	1435
10	1436
10	1437
10	1438
18	1439
10	1440
8	1441
10	1442
6	1443
10	1444
10	1445
10	1446
6	1447
2	1448
4	1449
8	1450
10	1451
20	1452
8	1453
10	1454
8	1455
6	1456
10	1457
10	1458
8	1459
6	1460
10	1461
6	1462
2	1463
10	1464
10	1465
8	1466
8	1467
6	1468
10	1469
10	1470
8	1471
8	1472
16	1473
8	1474
6	1475
6	1476
4	1477
6	1478
4	1479
8	1480
10	1481
6	1482
6	1483
6	1484
10	1485
10	1486
4	1487
10	1488
10	1489
10	1490
18	1491
10	1492
10	1493
10	1494
10	1495
10	1496
10	1497
10	1498
8	1499
10	1500
10	1501
10	1502
10	1503
6	1504
6	1505
6	1506
6	1507
10	1508
8	1509
8	1510
8	1511
10	1512
8	1513
10	1514
10	1515
10	1516
6	1517
10	1518
8	1519
10	1520
6	1521
10	1522
8	1523
10	1524
8	1525
10	1526
10	1527
10	1528
8	1529
6	1530
10	1531
10	1532
10	1533
8	1534
8	1535
10	1536
10	1537
8	1538
10	1539
6	1540
8	1541
8	1542
10	1543
10	1544
8	1545
4	1546
10	1547
8	1548
10	1549
8	1550
8	1551
8	1552
6	1553
8	1554
8	1555
8	1556
8	1557
2	1558
6	1559
8	1560
10	1561
10	1562
10	1563
6	1564
10	1565
10	1566
10	1567
10	1568
6	1569
10	1570
8	1571
8	1572
8	1573
8	1574
10	1575
10	1576
8	1577
10	1578
18	1579
8	1580
10	1581
6	1582
12	1583
10	1584
10	1585
10	1586
10	1587
10	1588
10	1589
10	1590
10	1591
10	1592
20	1593
8	1594
8	1595
10	1596
8	1597
10	1598
4	1599
8	1600
10	1601
6	1602
8	1603
10	1604
10	1605
10	1606
10	1607
10	1608
10	1609
10	1610
10	1611
10	1612
26	1613
18	1614
8	1615
30	1616
36	1617
10	1618
10	1619
10	1620
10	1621
10	1622
6	1623
10	1624
8	1625
10	1626
8	1627
10	1628
10	1629
10	1630
10	1631
4	1632
8	1633
6	1634
8	1635
8	1636
6	1637
8	1638
6	1639
14	1640
8	1641
14	1642
10	1643
10	1644
14	1645
10	1646
10	1647
10	1648
8	1649
4	1650
14	1651
6	1652
8	1653
10	1654
10	1655
4	1656
10	1657
8	1658
8	1659
10	1660
10	1661
4	1662
10	1663
10	1664
10	1665
6	1666
4	1667
6	1668
6	1669
10	1670
10	1671
10	1672
10	1673
20	1674
10	1675
10	1676
10	1677
6	1678
10	1679
10	1680
10	1681
6	1682
10	1683
20	1684
6	1685
10	1686
10	1687
10	1688
10	1689
16	1690
8	1691
8	1692
8	1693
8	1694
10	1695
10	1696
20	1697
10	1698
10	1699
10	1700
8	1701
8	1702
6	1703
8	1704
2	1705
8	1706
10	1707
8	1708
10	1709
10	1710
10	1711
6	1712
6	1713
10	1714
10	1715
10	1716
10	1717
10	1718
8	1719
10	1720
10	1721
10	1722
10	1723
6	1724
4	1725
10	1726
10	1727
10	1728
10	1729
8	1730
10	1731
10	1732
10	1733
10	1734
10	1735
10	1736
10	1737
10	1738
10	1739
10	1740
10	1741
10	1742
10	1743
18	1744
10	1745
10	1746
10	1747
10	1748
10	1749
10	1750
8	1751
8	1752
4	1753
10	1754
8	1755
10	1756
6	1757
10	1758
2	1759
18	1760
10	1761
18	1762
10	1763
10	1764
6	1765
10	1766
10	1767
10	1768
8	1769
4	1770
10	1771
10	1772
10	1773
10	1774
8	1775
10	1776
8	1777
14	1778
10	1779
6	1780
10	1781
10	1782
6	1783
6	1784
10	1785
10	1786
8	1787
8	1788
10	1789
8	1790
10	1791
10	1792
8	1793
8	1794
10	1795
10	1796
10	1797
8	1798
10	1799
8	1800
10	1801
10	1802
16	1803
10	1804
10	1805
8	1806
8	1807
10	1808
10	1809
10	1810
10	1811
10	1812
8	1813
8	1814
10	1815
10	1816
6	1817
10	1818
8	1819
10	1820
10	1821
10	1822
10	1823
10	1824
10	1825
10	1826
10	1827
10	1828
4	1829
10	1830
10	1831
8	1832
8	1833
10	1834
10	1835
8	1836
10	1837
10	1838
8	1839
10	1840
10	1841
10	1842
8	1843
10	1844
10	1845
10	1846
6	1847
8	1848
6	1849
6	1850
6	1851
10	1852
10	1853
6	1854
10	1855
8	1856
10	1857
10	1858
8	1859
10	1860
8	1861
10	1862
2	1863
6	1864
10	1865
8	1866
10	1867
8	1868
10	1869
8	1870
8	1871
8	1872
8	1873
4	1874
4	1875
4	1876
10	1877
4	1878
2	1879
8	1880
12	1881
2	1882
10	1883
6	1884
6	1885
8	1886
10	1887
8	1888
10	1889
10	1890
6	1891
8	1892
8	1893
8	1894
6	1895
8	1896
10	1897
6	1898
8	1899
8	1900
6	1901
10	1902
10	1903
8	1904
16	1905
8	1906
12	1907
8	1908
6	1909
6	1910
6	1911
10	1912
10	1913
6	1914
10	1915
10	1916
10	1917
10	1918
8	1919
10	1920
8	1921
8	1922
10	1923
10	1924
8	1925
8	1926
6	1927
10	1928
18	1929
10	1930
10	1931
10	1932
10	1933
6	1934
8	1935
6	1936
6	1937
10	1938
16	1939
10	1940
10	1941
10	1942
4	1943
6	1944
8	1945
10	1946
8	1947
6	1948
8	1949
8	1950
4	1951
8	1952
10	1953
10	1954
6	1955
8	1956
10	1957
10	1958
10	1959
10	1960
10	1961
10	1962
10	1963
10	1964
8	1965
8	1966
10	1967
10	1968
10	1969
10	1970
8	1971
10	1972
8	1973
8	1974
8	1975
8	1976
6	1977
8	1978
8	1979
8	1980
6	1981
8	1982
8	1983
8	1984
20	1985
6	1986
10	1987
6	1988
8	1989
10	1990
8	1991
10	1992
8	1993
10	1994
10	1995
6	1996
6	1997
10	1998
8	1999
10	2000
10	2001
4	2002
8	2003
8	2004
8	2005
8	2006
10	2007
10	2008
8	2009
8	2010
10	2011
10	2012
10	2013
10	2014
10	2015
8	2016
10	2017
10	2018
10	2019
8	2020
10	2021
8	2022
10	2023
10	2024
10	2025
10	2026
4	2027
4	2028
2	2029
10	2030
10	2031
8	2032
8	2033
10	2034
10	2035
6	2036
8	2037
8	2038
10	2039
10	2040
10	2041
10	2042
10	2043
10	2044
10	2045
10	2046
10	2047
10	2048
8	2049
10	2050
10	2051
10	2052
4	2053
10	2054
10	2055
6	2056
8	2057
10	2058
10	2059
8	2060
10	2061
10	2062
26	2063
6	2064
30	2065
6	2066
10	2067
6	2068
10	2069
10	2070
10	2071
10	2072
10	2073
10	2074
8	2075
10	2076
8	2077
8	2078
10	2079
10	2080
8	2081
8	2082
6	2083
8	2084
10	2085
6	2086
10	2087
10	2088
8	2089
10	2090
10	2091
10	2092
8	2093
10	2094
28	2095
32	2096
10	2097
10	2098
10	2099
6	2100
10	2101
10	2102
10	2103
10	2104
10	2105
34	2106
10	2107
8	2108
6	2109
8	2110
10	2111
6	2112
10	2113
8	2114
10	2115
10	2116
10	2117
18	2118
16	2119
10	2120
10	2121
20	2122
6	2123
6	2124
20	2125
8	2126
10	2127
16	2128
6	2129
10	2130
10	2131
10	2132
10	2133
6	2134
6	2135
8	2136
10	2137
10	2138
10	2139
6	2140
16	2141
10	2142
8	2143
10	2144
8	2145
10	2146
18	2147
10	2148
8	2149
10	2150
20	2151
8	2152
10	2153
6	2154
10	2155
6	2156
8	2157
6	2158
10	2159
6	2160
8	2161
10	2162
6	2163
16	2164
6	2165
6	2166
8	2167
8	2168
10	2169
28	2170
8	2171
8	2172
30	2173
8	2174
14	2175
10	2176
10	2177
10	2178
10	2179
10	2180
12	2181
18	2182
6	2183
10	2184
20	2185
8	2186
8	2187
10	2188
10	2189
10	2190
6	2191
8	2192
6	2193
6	2194
8	2195
8	2196
10	2197
10	2198
10	2199
8	2200
10	2201
10	2202
10	2203
10	2204
10	2205
10	2206
10	2207
10	2208
8	2209
6	2210
10	2211
10	2212
10	2213
10	2214
10	2215
8	2216
8	2217
10	2218
10	2219
8	2220
10	2221
8	2222
6	2223
6	2224
10	2225
6	2226
8	2227
10	2228
10	2229
10	2230
10	2231
10	2232
10	2233
10	2234
10	2235
6	2236
6	2237
10	2238
10	2239
8	2240
6	2241
10	2242
10	2243
10	2244
10	2245
10	2246
8	2247
10	2248
10	2249
18	2250
6	2251
8	2252
10	2253
26	2254
8	2255
10	2256
8	2257
10	2258
10	2259
10	2260
8	2261
10	2262
8	2263
6	2264
10	2265
10	2266
10	2267
8	2268
8	2269
6	2270
10	2271
10	2272
8	2273
10	2274
10	2275
4	2276
8	2277
10	2278
10	2279
10	2280
6	2281
10	2282
8	2283
10	2284
8	2285
8	2286
10	2287
8	2288
10	2289
10	2290
10	2291
8	2292
10	2293
10	2294
8	2295
10	2296
10	2297
10	2298
10	2299
10	2300
10	2301
10	2302
10	2303
6	2304
6	2305
8	2306
20	2307
8	2308
10	2309
10	2310
18	2311
8	2312
8	2313
10	2314
8	2315
10	2316
10	2317
6	2318
8	2319
8	2320
8	2321
8	2322
10	2323
10	2324
8	2325
8	2326
10	2327
10	2328
8	2329
10	2330
10	2331
10	2332
6	2333
10	2334
10	2335
10	2336
10	2337
10	2338
10	2339
10	2340
10	2341
8	2342
8	2343
10	2344
10	2345
10	2346
10	2347
2	2348
10	2349
6	2350
10	2351
10	2352
8	2353
6	2354
10	2355
10	2356
10	2357
10	2358
10	2359
10	2360
10	2361
10	2362
10	2363
10	2364
10	2365
10	2366
2	2367
10	2368
10	2369
16	2370
8	2371
4	2372
4	2373
8	2374
10	2375
8	2376
10	2377
8	2378
10	2379
8	2380
6	2381
8	2382
6	2383
10	2384
10	2385
10	2386
10	2387
18	2388
10	2389
8	2390
10	2391
6	2392
10	2393
6	2394
10	2395
10	2396
10	2397
10	2398
10	2399
10	2400
10	2401
14	2402
10	2403
10	2404
10	2405
2	2406
8	2407
10	2408
10	2409
10	2410
10	2411
10	2412
4	2413
8	2414
10	2415
20	2416
10	2417
10	2418
12	2419
8	2420
8	2421
10	2422
8	2423
10	2424
10	2425
10	2426
10	2427
4	2428
10	2429
6	2430
10	2431
10	2432
12	2433
8	2434
6	2435
10	2436
4	2437
10	2438
10	2439
8	2440
10	2441
8	2442
10	2443
8	2444
8	2445
10	2446
8	2447
10	2448
8	2449
8	2450
8	2451
6	2452
8	2453
10	2454
10	2455
8	2456
8	2457
10	2458
8	2459
8	2460
10	2461
10	2462
18	2463
10	2464
10	2465
8	2466
8	2467
8	2468
18	2469
8	2470
10	2471
18	2472
8	2473
8	2474
4	2475
2	2476
4	2477
6	2478
2	2479
6	2480
6	2481
10	2482
6	2483
10	2484
6	2485
6	2486
10	2487
8	2488
6	2489
8	2490
10	2491
10	2492
10	2493
10	2494
14	2495
10	2496
6	2497
10	2498
8	2499
6	2500
6	2501
10	2502
10	2503
6	2504
8	2505
10	2506
20	2507
8	2508
10	2509
6	2510
8	2511
6	2512
10	2513
10	2514
16	2515
16	2516
10	2517
10	2518
10	2519
10	2520
10	2521
8	2522
6	2523
10	2524
10	2525
10	2526
6	2527
10	2528
10	2529
10	2530
10	2531
8	2532
10	2533
6	2534
10	2535
16	2536
10	2537
10	2538
28	2539
10	2540
2	2541
8	2542
10	2543
16	2544
10	2545
10	2546
10	2547
10	2548
6	2549
8	2550
26	2551
40	2552
22	2553
20	2554
22	2555
22	2556
26	2557
26	2558
22	2559
30	2560
16	2561
24	2562
26	2563
24	2564
26	2565
26	2566
22	2567
20	2568
28	2569
20	2570
26	2571
22	2572
24	2573
24	2574
10	2575
2	2576
10	2577
8	2578
10	2579
4	2580
6	2581
8	2582
8	2583
10	2584
10	2585
6	2586
10	2587
6	2588
10	2589
10	2590
8	2591
10	2592
10	2593
10	2594
10	2595
10	2596
6	2597
10	2598
8	2599
6	2600
6	2601
10	2602
10	2603
6	2604
8	2605
10	2606
6	2607
6	2608
6	2609
6	2610
10	2611
10	2612
6	2613
10	2614
6	2615
10	2616
10	2617
10	2618
10	2619
4	2620
4	2621
10	2622
8	2623
18	2624
8	2625
10	2626
10	2627
10	2628
12	2629
18	2630
18	2631
10	2632
8	2633
8	2634
10	2635
18	2636
10	2637
22	2638
10	2639
8	2640
8	2641
10	2642
10	2643
10	2644
10	2645
10	2646
6	2647
8	2648
10	2649
10	2650
8	2651
10	2652
10	2653
12	2654
6	2655
10	2656
8	2657
8	2658
6	2659
12	2660
8	2661
10	2662
10	2663
10	2664
14	2665
10	2666
10	2667
10	2668
10	2669
10	2670
14	2671
6	2672
10	2673
8	2674
8	2675
6	2676
8	2677
8	2678
18	2679
4	2680
6	2681
20	2682
8	2683
8	2684
6	2685
10	2686
20	2687
10	2688
10	2689
10	2690
8	2691
10	2692
8	2693
6	2694
10	2695
8	2696
8	2697
8	2698
10	2699
28	2700
10	2701
18	2702
10	2703
10	2704
10	2705
10	2706
10	2707
10	2708
10	2709
10	2710
10	2711
10	2712
10	2713
8	2714
8	2715
10	2716
10	2717
10	2718
20	2719
6	2720
8	2721
10	2722
8	2723
10	2724
6	2725
10	2726
16	2727
6	2728
10	2729
6	2730
10	2731
4	2732
20	2733
32	2734
8	2735
10	2736
2	2737
6	2738
10	2739
8	2740
4	2741
8	2742
14	2743
4	2744
8	2745
6	2746
10	2747
10	2748
8	2749
6	2750
8	2751
10	2752
10	2753
10	2754
10	2755
8	2756
8	2757
10	2758
10	2759
8	2760
10	2761
10	2762
8	2763
10	2764
10	2765
10	2766
8	2767
10	2768
10	2769
10	2770
10	2771
10	2772
10	2773
10	2774
4	2775
10	2776
6	2777
10	2778
10	2779
10	2780
10	2781
10	2782
8	2783
8	2784
10	2785
10	2786
10	2787
10	2788
8	2789
10	2790
6	2791
10	2792
10	2793
8	2794
10	2795
10	2796
10	2797
26	2798
8	2799
10	2800
10	2801
8	2802
10	2803
10	2804
26	2805
10	2806
20	2807
10	2808
10	2809
10	2810
8	2811
20	2812
6	2813
20	2814
6	2815
8	2816
8	2817
10	2818
10	2819
6	2820
10	2821
2	2822
8	2823
10	2824
10	2825
8	2826
8	2827
10	2828
10	2829
28	2830
6	2831
10	2832
8	2833
8	2834
10	2835
6	2836
10	2837
10	2838
6	2839
10	2840
8	2841
10	2842
10	2843
10	2844
10	2845
10	2846
10	2847
12	2848
16	2849
10	2850
10	2851
8	2852
10	2853
10	2854
8	2855
8	2856
10	2857
6	2858
8	2859
10	2860
8	2861
10	2862
10	2863
10	2864
10	2865
8	2866
10	2867
10	2868
10	2869
8	2870
10	2871
10	2872
28	2873
10	2874
4	2875
8	2876
10	2877
6	2878
8	2879
6	2880
10	2881
10	2882
10	2883
8	2884
16	2885
8	2886
6	2887
10	2888
10	2889
2	2890
10	2891
10	2892
10	2893
8	2894
4	2895
10	2896
8	2897
10	2898
6	2899
6	2900
10	2901
10	2902
6	2903
6	2904
8	2905
10	2906
6	2907
10	2908
6	2909
10	2910
10	2911
10	2912
10	2913
8	2914
10	2915
10	2916
10	2917
8	2918
8	2919
10	2920
2	2921
10	2922
6	2923
10	2924
2	2925
8	2926
10	2927
10	2928
10	2929
10	2930
10	2931
10	2932
10	2933
10	2934
10	2935
6	2936
10	2937
8	2938
6	2939
10	2940
10	2941
6	2942
8	2943
4	2944
10	2945
6	2946
6	2947
6	2948
6	2949
6	2950
10	2951
8	2952
8	2953
8	2954
10	2955
8	2956
10	2957
8	2958
10	2959
10	2960
10	2961
8	2962
10	2963
10	2964
16	2965
6	2966
8	2967
8	2968
10	2969
10	2970
6	2971
10	2972
10	2973
10	2974
10	2975
10	2976
10	2977
6	2978
6	2979
8	2980
8	2981
10	2982
8	2983
10	2984
18	2985
10	2986
10	2987
10	2988
10	2989
10	2990
10	2991
10	2992
10	2993
10	2994
10	2995
10	2996
10	2997
